"state_id","year","effect_size","composting_effect"
"CT",2014,0.0727737027235198,0.788507190729636
"VT",2014,0.0496499595473677,0.61361094511534
"CT",2015,0.0727737027235198,0.788507190729636
"VT",2015,0.0712119855600568,0.880090420242106
"CT",2016,0.0727737027235198,0.788507190729636
"VT",2016,0.093524497669084,1.15584495796848
"CT",2017,0.0727737027235198,0.788507190729636
"VT",2017,0.0987745785903685,1.22072934348279
"CT",2018,0.0727737027235198,0.788507190729636
"VT",2018,0.0987745785903685,1.22072934348279
"CT",2019,0.0727737027235198,0.788507190729636
"VT",2019,0.0987745785903685,1.22072934348279
"CT",2020,0.104377927288239,1.13094075387251
"VT",2020,0.306877210831732,3.7926156856819
