census_year,county_name,state_name,urban,rural
2020,Autauga,Alabama,14359,9991
2020,Baldwin,Alabama,83408,40740
2020,Barbour,Alabama,4080,7538
2020,Bibb,Alabama,0,9002
2020,Blount,Alabama,2285,22337
2020,Bullock,Alabama,0,4516
2020,Butler,Alabama,2890,6916
2020,Calhoun,Alabama,34203,18849
2020,Chambers,Alabama,7985,8388
2020,Cherokee,Alabama,0,14513
2020,Chilton,Alabama,2891,16547
2020,Choctaw,Alabama,0,7104
2020,Clarke,Alabama,0,11655
2020,Clay,Alabama,0,7035
2020,Cleburne,Alabama,0,6801
2020,Coffee,Alabama,12323,11782
2020,Colbert,Alabama,16432,11234
2020,Conecuh,Alabama,0,6382
2020,Coosa,Alabama,0,5999
2020,Covington,Alabama,5846,12750
2020,Crenshaw,Alabama,0,6516
2020,Cullman,Alabama,9500,29645
2020,Dale,Alabama,11233,11528
2020,Dallas,Alabama,10472,8408
2020,DeKalb,Alabama,3335,27249
2020,Elmore,Alabama,10544,26274
2020,Escambia,Alabama,6211,10473
2020,Etowah,Alabama,27895,19411
2020,Fayette,Alabama,0,7760
2020,Franklin,Alabama,3847,10065
2020,Geneva,Alabama,55,12397
2020,Greene,Alabama,0,4205
2020,Hale,Alabama,0,7399
2020,Henry,Alabama,0,9058
2020,Houston,Alabama,33017,16265
2020,Jackson,Alabama,6394,18233
2020,Jefferson,Alabama,274337,33590
2020,Lamar,Alabama,0,7071
2020,Lauderdale,Alabama,22010,22575
2020,Lawrence,Alabama,1,15224
2020,Lee,Alabama,55786,19070
2020,Limestone,Alabama,20749,21943
2020,Lowndes,Alabama,0,4779
2020,Macon,Alabama,4332,5272
2020,Madison,Alabama,142378,27442
2020,Marengo,Alabama,2986,6791
2020,Marion,Alabama,0,14073
2020,Marshall,Alabama,18525,22720
2020,Mobile,Alabama,145122,39319
2020,Monroe,Alabama,2229,7898
2020,Montgomery,Alabama,93042,12251
2020,Morgan,Alabama,33042,20223
2020,Perry,Alabama,0,3933
2020,Pickens,Alabama,0,8646
2020,Pike,Alabama,6857,9120
2020,Randolph,Alabama,0,12400
2020,Russell,Alabama,16712,10541
2020,St. Clair,Alabama,12643,25132
2020,Shelby,Alabama,67495,21565
2020,Sumter,Alabama,0,6279
2020,Talladega,Alabama,15825,22123
2020,Tallapoosa,Alabama,4428,18258
2020,Tuscaloosa,Alabama,71635,29825
2020,Walker,Alabama,5781,24194
2020,Washington,Alabama,0,7712
2020,Wilcox,Alabama,0,5261
2020,Winston,Alabama,0,13015
2020,Aleutians East Borough,Alaska,0,679
2020,Aleutians West Census Area,Alaska,0,1331
2020,Anchorage Municipality,Alaska,113189,5451
2020,Bethel Census Area,Alaska,1756,4228
2020,Bristol Bay Borough,Alaska,0,857
2020,Chugach Census Area,Alaska,0,3565
2020,Copper River Census Area,Alaska,0,2769
2020,Denali Borough,Alaska,0,1606
2020,Dillingham Census Area,Alaska,0,2405
2020,Fairbanks North Star Borough,Alaska,30180,12479
2020,Haines Borough,Alaska,0,1370
2020,Hoonah-Angoon Census Area,Alaska,0,1777
2020,Juneau City and Borough,Alaska,10960,3133
2020,Kenai Peninsula Borough,Alaska,6210,26412
2020,Ketchikan Gateway Borough,Alaska,5458,1156
2020,Kodiak Island Borough,Alaska,3798,2027
2020,Kusilvak Census Area,Alaska,0,2342
2020,Lake and Peninsula Borough,Alaska,0,1469
2020,Matanuska-Susitna Borough,Alaska,20504,30573
2020,Nome Census Area,Alaska,0,4095
2020,North Slope Borough,Alaska,0,2619
2020,Northwest Arctic Borough,Alaska,0,2717
2020,Petersburg Borough,Alaska,0,1718
2020,Prince of Wales-Hyder Census Area,Alaska,0,3227
2020,Sitka City and Borough,Alaska,3663,476
2020,Skagway Municipality,Alaska,0,760
2020,Southeast Fairbanks Census Area,Alaska,0,3513
2020,Wrangell City and Borough,Alaska,0,1273
2020,Yakutat City and Borough,Alaska,0,441
2020,Yukon-Koyukuk Census Area,Alaska,0,4014
2020,Apache,Arizona,0,28723
2020,Cochise,Arizona,36374,22274
2020,Coconino,Arizona,42035,27073
2020,Gila,Arizona,16296,16077
2020,Graham,Arizona,7461,6243
2020,Greenlee,Arizona,0,4389
2020,La Paz,Arizona,7758,5699
2020,Maricopa,Arizona,1775122,37705
2020,Mohave,Arizona,89596,28054
2020,Navajo,Arizona,28263,27917
2020,Pima,Arizona,433044,37088
2020,Pinal,Arizona,136244,36634
2020,Santa Cruz,Arizona,7334,11395
2020,Yavapai,Arizona,81245,39909
2020,Yuma,Arizona,80314,11734
2020,Arkansas,Arkansas,4049,4622
2020,Ashley,Arkansas,3550,5821
2020,Baxter,Arkansas,9114,13585
2020,Benton,Arkansas,85069,28019
2020,Boone,Arkansas,6799,10569
2020,Bradley,Arkansas,2590,2483
2020,Calhoun,Arkansas,0,2444
2020,Carroll,Arkansas,2008,11845
2020,Chicot,Arkansas,0,5104
2020,Clark,Arkansas,4205,5772
2020,Clay,Arkansas,0,7470
2020,Cleburne,Arkansas,3841,11686
2020,Cleveland,Arkansas,0,3570
2020,Columbia,Arkansas,4483,6516
2020,Conway,Arkansas,3020,6626
2020,Craighead,Arkansas,31507,15232
2020,Crawford,Arkansas,12438,12862
2020,Crittenden,Arkansas,16980,4311
2020,Cross,Arkansas,3383,4202
2020,Dallas,Arkansas,0,3468
2020,Desha,Arkansas,2143,3652
2020,Drew,Arkansas,3906,4353
2020,Faulkner,Arkansas,29045,22640
2020,Franklin,Arkansas,0,7716
2020,Fulton,Arkansas,0,6185
2020,Garland,Arkansas,36496,15830
2020,Grant,Arkansas,2116,5723
2020,Greene,Arkansas,10612,8547
2020,Hempstead,Arkansas,4095,5506
2020,Hot Spring,Arkansas,4235,9944
2020,Howard,Arkansas,0,6152
2020,Independence,Arkansas,4724,11943
2020,Izard,Arkansas,0,6721
2020,Jackson,Arkansas,2933,4146
